name,date,energy,amount,on_peak,mid_day,off_peak,correct_amount,error_rounding,error_calculation,session_type_DEVICE,session_type_MOBILE,session_type_WEB,port_type_CHADEMO,port_type_DCCOMBOTYP1,payment_mode_CREDITCARD,payment_mode_RFID,correct_duration
A,2018-09-01,218.31,115.78,7.0,8.0,2.0,115.78,0.0,0.0,7,10,0,17,0,11,6,25580
A,2018-09-02,192.29,102.15,2.0,12.0,3.0,102.15,0.0,0.0,4,13,0,17,0,9,8,27692
A,2018-09-03,182.25,93.6,3.0,4.0,2.0,93.6,0.0,0.0,3,6,0,7,2,7,2,25673
A,2018-09-04,110.14,56.83,1.0,5.0,1.0,56.83,0.0,0.0,1,6,0,7,0,3,4,13489
A,2018-09-05,295.22,156.2,6.0,8.0,3.0,156.2,0.0,0.0,4,13,0,14,3,8,9,38217
A,2018-09-06,192.39,100.06,4.0,8.0,3.0,100.06,0.0,0.0,3,12,0,15,0,10,5,23664
A,2018-09-07,339.39,176.17,2.0,9.0,6.0,176.18,0.0,1.0,0,17,0,15,2,9,8,39557
A,2018-09-08,286.65,149.58,5.0,9.0,2.0,149.59,0.0,1.0,9,7,0,15,1,12,4,30498
A,2018-09-09,188.3,96.59,5.0,10.0,4.0,96.59,0.0,0.0,4,14,1,16,3,12,7,24574
A,2018-09-10,198.49,103.95,4.0,12.0,3.0,103.95,0.0,0.0,7,12,0,17,2,9,10,22465
A,2018-09-11,272.43,141.5,5.0,8.0,8.0,141.5,0.0,0.0,5,14,2,19,2,6,15,35786
A,2018-09-12,66.9,34.86,1.0,4.0,2.0,34.86,0.0,0.0,2,5,0,6,1,3,4,11394
A,2018-09-13,301.33,160.8,8.0,11.0,1.0,160.78,0.0,0.0,9,11,0,17,3,15,5,39180
A,2018-09-14,293.82,155.03,6.0,12.0,2.0,155.03,0.0,0.0,10,10,0,18,2,16,4,38330
A,2018-09-15,247.13,128.97,3.0,9.0,6.0,128.97,0.0,0.0,8,10,0,18,0,15,3,33073
A,2018-09-16,250.54,128.46,3.0,15.0,1.0,128.46,0.0,0.0,10,9,0,17,2,17,2,28431
A,2018-09-17,241.45,125.91,4.0,6.0,2.0,125.91,0.0,0.0,3,9,0,10,2,8,4,27858
A,2018-09-18,191.41,104.2,6.0,9.0,4.0,104.2,0.0,0.0,4,15,0,16,3,11,8,25018
A,2018-09-19,293.23,158.94,4.0,5.0,5.0,158.94,0.0,0.0,6,8,0,14,0,10,4,33044
A,2018-09-20,286.87,152.89,5.0,9.0,5.0,152.89,0.0,0.0,4,15,0,17,2,10,9,33835
A,2018-09-21,246.97,128.78,4.0,5.0,2.0,128.78,0.0,0.0,4,7,0,10,1,9,2,27606
A,2018-09-22,242.34,124.13,2.0,12.0,2.0,124.14,0.0,0.0,4,11,1,15,1,12,4,29667
A,2018-09-23,287.04,149.82,3.0,8.0,3.0,149.83,0.0,0.0,6,8,0,12,2,10,4,29765
A,2018-09-24,212.58,109.47,4.0,5.0,3.0,109.47,0.0,0.0,4,8,0,11,1,7,5,25374
A,2018-09-25,238.21,125.53,5.0,8.0,4.0,125.52,0.0,1.0,5,12,0,15,2,12,5,29717
A,2018-09-26,282.21,149.81,5.0,4.0,5.0,149.81,0.0,0.0,5,9,0,14,0,8,6,32947
A,2018-09-27,205.68,106.76,5.0,8.0,4.0,106.76,0.0,0.0,3,14,0,16,1,9,8,30338
A,2018-09-28,321.57,168.28,3.0,11.0,4.0,168.28,0.0,0.0,2,16,0,18,0,12,6,34176
A,2018-09-29,199.65,106.49,6.0,6.0,9.0,106.49,0.0,0.0,6,15,0,20,1,10,11,31365
A,2018-09-30,217.01,114.94,3.0,6.0,3.0,114.94,0.0,0.0,6,6,0,12,0,5,7,28776
A,2018-10-01,268.75,144.41,6.0,6.0,4.0,144.42,0.0,0.0,6,10,0,14,2,11,5,29257
A,2018-10-02,229.49,121.77,2.0,10.0,4.0,121.77,0.0,0.0,6,10,0,15,1,11,5,25748
